,no_strokes_st,no_strokes_dy,speed_st,speed_dy,magnitude_vel_st,magnitude_horz_vel_st,magnitude_vert_vel_st,magnitude_vel_dy,magnitude_horz_vel_dy,magnitude_vert_vel_dy,magnitude_acc_st,magnitude_horz_acc_st,magnitude_vert_acc_st,magnitude_acc_dy,magnitude_horz_acc_dy,magnitude_vert_acc_dy,magnitude_jerk_st,magnitude_horz_jerk_st,magnitude_vert_jerk_st,magnitude_jerk_dy,magnitude_horz_jerk_dy,magnitude_vert_jerk_dy,ncv_st,ncv_dy,nca_st,nca_dy,in_air_stcp,on_surface_st,on_surface_dy,target
0,2.0,2.0,0.010988218409777543,0.009757650244687851,0.16735733559403604,0.11668660138047891,0.09417158804913905,0.2010297321707739,0.13879698759566794,0.11473758018977841,0.0004780868972776924,0.00033735190328596925,0.00026596610044412244,0.0007460048260057398,0.0005118368418855732,0.0004558141881253213,5.738096746033529e-06,4.379858580408246e-06,2.911165074705775e-06,7.915434834233133e-06,5.629766822879291e-06,4.455485235859114e-06,143.16666666666666,308.0,28.0,65.0,176.0,952.0,689.0,1.0
1,52.0,10.0,0.006873874342466507,0.00666905311842857,0.0821699487862569,0.05365190365190366,0.05075988825988825,0.07131420436405887,0.047285971775767696,0.0438039334223895,0.00031631071991544045,0.00021281262955619135,0.00018050740613165462,0.00033920008282979424,0.00021965304519458724,0.00020557780154632533,5.370821223059503e-06,3.6667158533160794e-06,3.1889064832703013e-06,5.484016754364592e-06,3.522129323128607e-06,3.3307326835544676e-06,317.0,345.2,81.0,83.33333333333333,0.0,2107.0,2506.0,1.0
2,22.0,12.0,0.0016362025458440065,0.0016201857151076661,0.12831618485232546,0.08395915631209748,0.07910858930466773,0.06821169357381995,0.0428016428016428,0.04347298791743236,0.0004094461073727499,0.0002657284980062144,0.0002531528948735591,0.0002701192583996192,0.0001754454003786592,0.00016319505957551524,5.184842091677061e-06,3.2259173606367144e-06,3.4135693933982652e-06,4.131061545388622e-06,2.718962141099413e-06,2.558166248851374e-06,205.71428571428572,262.2857142857143,53.666666666666664,83.0,206.0,1369.0,2807.0,1.0
3,2.0,6.0,0.001793204602018524,0.0014342180756461741,0.0411274038385361,0.026362198896796425,0.025751079819959655,0.05953523103776465,0.03771558302808302,0.038585927960927954,0.0001594817222715471,9.512670763878884e-05,9.801047145118818e-05,0.00019394043111021733,0.00011845191436040836,0.00011763279404443272,2.9675512741261997e-06,1.7802558958982697e-06,1.904226462902809e-06,3.5459595455014678e-06,2.2126403720253315e-06,2.1955686461837123e-06,315.7142857142857,299.6666666666667,212.0,285.0,705.0,4025.0,2487.0,1.0
4,4.0,6.0,0.010126987814961172,0.009184125353444633,0.05445614802965261,0.03569787758649744,0.03317427796846683,0.0760646320500834,0.049734326975706296,0.04842743463433118,0.00018766015065952324,0.00012527728836561933,0.00010431866995416987,0.00020000048209027846,0.0001259588197418885,0.00011917547962521506,3.4693836745563745e-06,2.335721071757737e-06,2.0102842342453857e-06,3.2294283608720504e-06,2.049743698924486e-06,2.016946716153461e-06,210.3,319.5,67.2,262.0,1221.0,2712.0,2337.0,1.0
5,2.0,2.0,0.0066888041687857515,0.00663044535702375,0.03624272309127485,0.0229380067703421,0.022320194775284595,0.029825999082780937,0.019007185368441912,0.01816223334547942,0.00026698960647810816,0.00015673390520765364,0.00017357683820850282,0.00022747641706288228,0.0001408229116784778,0.0001380098534300413,4.76461197274983e-06,2.6879627876566023e-06,3.2820622611389482e-06,4.087011624607237e-06,2.473218184251897e-06,2.6399067447494846e-06,208.41666666666666,406.3333333333333,98.66666666666667,347.5,1285.0,6551.0,7547.0,1.0
6,12.0,6.0,0.0029815733358340753,0.0037963158921683286,0.0505353106961797,0.030473897878961164,0.03294848611304307,0.03546179602257971,0.02133963460503577,0.023452776509011224,0.00023810403211701269,0.00013812163329841978,0.0001569051856582123,0.00019945140368175592,0.00012165340182144753,0.0001256582375464685,3.863009984476923e-06,2.304176858911324e-06,2.5523468189438856e-06,3.482345818126628e-06,2.120030067832581e-06,2.2310459311011825e-06,227.11111111111111,267.1,99.75,305.0,1285.0,2797.0,8027.0,1.0
7,38.0,0.0,0.005165936568903718,0.00519496319538465,0.04756128150602929,0.03048896156117163,0.030029416243858256,0.06395426436269759,0.04096324920500745,0.04105515973647842,0.0001644615587697484,9.982923938565367e-05,0.00010040116645599074,0.00018235544822107173,0.00011271810089934872,0.00011244023558596647,3.0565965831228398e-06,1.9012707898320878e-06,1.9337855679736854e-06,3.2455975229629545e-06,2.0664557939757304e-06,2.04175146150256e-06,363.3333333333333,444.4,199.0,329.0,1733.0,26.0,0.0,1.0
8,54.0,34.0,0.003031528570142624,0.002655773043745216,0.09260190711558172,0.06010217037390951,0.057756211180124216,0.10462663618681463,0.06737536420076103,0.06673191593826515,0.00040598680557151813,0.00023525077510784046,0.0002768368937928226,0.0004217534459199672,0.00024424170082433386,0.0002893323169125798,7.583153615854841e-06,4.273490128381538e-06,5.3581964626520865e-06,7.496802173855157e-06,4.341375360262862e-06,5.209629454330622e-06,310.0,334.75,225.0,75.5,1497.0,1881.0,1592.0,1.0
9,24.0,8.0,0.002194470482925214,0.002376459962984621,0.12209797829079194,0.07955976122642788,0.07666802333468999,0.1461818488327184,0.09789987789987789,0.09104229104229104,0.0004765975756541583,0.00034162363194754024,0.0002579985077824317,0.0005220769399913772,0.000331025351362887,0.00032523730966392593,8.381395853583006e-06,5.88569849137324e-06,4.575640720910794e-06,7.5241283637566225e-06,4.729450790368287e-06,4.858796370803022e-06,323.6,162.375,84.5,30.25,2104.0,1340.0,839.0,1.0
